date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,fdom
2012-06-12,14.115156,62317837.6,-81.712586,-21.463915,0.395193,11.81125,81.919008,1011.886289,59.75,14.19828346,256.2916667,13.33833333,13.23208333,12.255,10.055,0.375666667,0.38025,0.390125,0.387,0.3,2.822985573,2.804,8.76,56.88371274
2012-06-13,14.101549,62317837.6,-49.668405,-16.57055,0.395193,11.68416667,76.52419704,1014.382792,64.25,11.4232995,228.75,12.80083333,12.71958333,12.23,10.105,0.37125,0.3765,0.388458333,0.387,0.6,2.813754261,1.842,9.174,56.30756944
2012-06-14,13.990197,62317837.6,-56.109838,-25.346189,0.318083,12.2175,85.58212538,1006.673432,95.75,19.49131533,148.75,12.81541667,12.61333333,12.19458333,10.155,0.383166667,0.375916667,0.386875,0.387,9.2,1.933979203,2.521,7.846,56.45098726
2012-06-15,14.057284,62317837.6,-46.782006,-15.07015,0.270337,12.96333333,88.6871185,993.1178171,98.125,25.62809017,156.7916667,13.07583333,12.66958333,12.15708333,10.20291667,0.401875,0.392833333,0.386,0.387,3.9,1.830235455,3.186,8.715,57.66117719
2012-06-16,13.941913,62317837.6,-73.823181,-34.956519,0.270337,11.29666667,87.774935,1001.047144,93.54166667,20.516296,128.7916667,12.57375,12.72166667,12.155,10.24458333,0.394416667,0.393625,0.386916667,0.387,0.4,1.567836503,2.489,10.309,59.00951443
2012-06-17,14.318991,62317837.6,-41.912431,-11.71723,0.270337,10.77166665,75.30774017,1014.241479,76.70833333,8.284315229,293.0416667,12.28833333,12.06541667,12.04666667,10.28,0.3885,0.389958333,0.386583333,0.387,1.9,3.466255669,2.159,10.226,58.73191141
2012-06-18,14.22991,62317837.6,-35.494967,-16.368773,0.270337,10.07374998,87.45031896,1012.552975,81.375,9.019208571,157.625,11.09458333,11.69458333,11.955,10.31541667,0.405208333,0.394583333,0.386416667,0.387,8.6,1.784080032,2.393,9.088,57.73618829
2012-06-19,14.650586,62317837.6,-31.377123,-5.190626,0.270337,12.23833333,82.42945154,1014.451584,64.79166667,6.455191842,281.4583333,12.79666667,11.93416667,11.80916667,10.355,0.399083333,0.399958333,0.387916667,0.387,1,3.375849402,2.137,10.266,56.82011582
2012-06-20,14.847961,62317837.6,-30.774228,-6.530131,0.270337,13.40291667,86.92123238,1012.654578,99.875,9.172148608,206.0833333,13.8925,13.14875,11.86958333,10.3925,0.396833333,0.394,0.387291667,0.387,6.9,2.610782146,1.781,9.979,56.91680543
2012-06-21,14.454659,62317837.6,-39.355978,-21.709382,0.270337,11.72791667,94.85274921,1002.830177,100,10.57370765,55.375,12.40916667,13.0175,11.99666667,10.4175,0.42425,0.417916667,0.392625,0.387125,19.2,0.812426406,5.992,9.063,56.92577185
2012-06-22,14.369554,62317837.6,-83.212003,-21.107278,0.288002,12.88416667,84.74198754,1006.734525,86.54166667,23.38203554,279.3333333,13.58416679,12.86541667,12.01541667,10.455,0.41375,0.415333333,0.400583333,0.388,3,2.890472341,2.873,10.811,58.59167589
