"swt","sr","st100","st255","sm100","sm255","doc_gwlf","cyday"
12.667742,60.54166667,10.84458333,13.1175,0.405291667,0.403,8.132,0.241921895599667
12.577843,84.66666667,10.94458333,13.06958333,0.404541667,0.403,9.16,0.258819045102521
12.483792,99.70833333,10.94875,13.02375,0.405,0.403,10.838,0.275637355816999
12.40557,95.58333333,10.76125,12.97791667,0.405,0.403,10.61,0.292371704722737
12.351599,73.58333333,10.56541667,12.92583333,0.405,0.403,9.736,0.309016994374947
12.193123,55.75,10.42375,12.87166667,0.405,0.403,9.862,0.325568154457156
12.105251,90.20833333,10.25708333,12.81541667,0.405458333,0.403458333,10.505,0.342020143325668
11.963483,46.79166667,10.17166667,12.75916667,0.407958333,0.404,9.929,0.3583679495453
11.938721,65.58333333,10.15708333,12.69875,0.411333333,0.404,10.643,0.374606593415912
11.845775,75.20833333,10.21958333,12.64458333,0.4125,0.404,10.955,0.390731128489273
11.835994,56.33333333,10.23208333,12.5925,0.411541667,0.405,10.542,0.406736643075801
11.843334,88.5,10.26541667,12.54041667,0.410375,0.405,10.139,0.4226182617407
11.838957,71.79166667,10.35291667,12.49458333,0.409,0.405,9.796,0.438371146789077
11.875712,52.375,10.43,12.45291667,0.407583333,0.405,9.43,0.453990499739547
11.868156,41.95833333,10.56541667,12.405,0.406083333,0.405,9.068,0.46947156278589
11.821994,65.95833333,10.68625,12.36541667,0.404583333,0.405,8.706,0.484809620246337
11.585772,71.5,10.68,12.33208333,0.403,0.405,8.348,0.5
11.467839,60.29166667,10.37583333,12.29666667,0.400958333,0.405,8.246,0.515038074910054
11.275795,18.95833333,10.05708333,12.24666667,0.399208333,0.405,11.028,0.529919264233205
11.173534,60.875,9.896666667,12.19666667,0.399,0.405,9.724,0.544639035015027
11.107035,37.875,9.757083333,12.1425,0.399,0.405,9.306,0.559192903470746
10.941379,63.54166667,9.682083333,12.09041667,0.403125,0.405,11.102,0.573576436351046
10.692579,41.83333333,9.469583333,12.03416667,0.40725,0.405,10.568,0.587785252292473
10.450984,53.79166667,9.18625,11.97791667,0.408,0.405,11.289,0.601815023152048
10.189854,41.29166667,8.93625,11.91333333,0.408,0.405,9.718,0.615661475325659
10.08517,54,8.702916667,11.83833333,0.408,0.405,10.089,0.629320391049838
9.98733,53.95833333,8.513333333,11.77375,0.408,0.405,9.775,0.642787609686539
9.946729,35.33333333,8.392500125,11.69666667,0.408,0.405,9.465,0.656059028990507
9.952411,34.45833333,8.513333333,11.62583333,0.407041667,0.405458333,8.735,0.669130606358858
9.91711,42.91666667,8.719583333,11.56125,0.406375,0.406,9.169,0.681998360062498
9.795304,51.25,8.888333333,11.49666667,0.407208333,0.406,9.949,0.694658370458997
9.602448,50.83333333,8.927916667,11.4425,0.408833333,0.406,10.792,0.707106781186547
9.529263,32.41666667,8.8175,11.38625,0.409,0.406,11.082,0.719339800338651
9.585851,11.33333333,8.765416667,11.33,0.410083333,0.406,11.724,0.731353701619171
9.750856,23.66666667,8.965416667,11.27375,0.415458333,0.406125,12.616,0.743144825477394
9.777516,9.5,9.182083333,11.22375,0.418,0.407,11.166,0.754709580222772
9.702917,31.45833333,9.2675,11.18,0.417375,0.407833333,10.541,0.766044443118978
9.669094,8.791666667,9.27375,11.13833333,0.416333333,0.408208333,10.086,0.777145961456971
9.494171,44.75,9.169583333,11.09666667,0.415916667,0.409,9.855,0.788010753606722
9.364113,16.58333333,8.865416667,11.04875,0.416,0.409,12.301,0.798635510047293
9.464157,20.70833333,8.67375,10.99666667,0.425958333,0.411,11.534,0.809016994374947
9.422763,35.58333333,8.796666667,10.94875,0.424208333,0.412833333,10.45,0.819152044288992
9.281911,45.58333333,8.807083333,10.90083333,0.422958333,0.414208333,10.528,0.829037572555041
9.123442,26.125,8.755,10.85083333,0.426,0.415458333,10.62,0.838670567945424
8.89633,35.95833333,8.646666667,10.80291667,0.42525,0.417208333,9.334,0.848048096156425
8.802693,35.16666667,8.361250063,10.75083333,0.422958333,0.418,8.932,0.857167300702112
8.69659,28.29166667,7.911250038,10.69458333,0.420333333,0.418708333,8.5,0.866025403784438
8.545467,37.79166667,7.559166629,10.63,0.417875,0.419,7.906,0.874619707139396
8.328224,37.25,7.427916542,10.56541667,0.415125,0.419,8.293,0.882947592858927
8.213071,36.54166667,7.242499938,10.48833333,0.412375,0.418416667,8.327,0.891006524188368
8.135352,9.875,6.917499963,10.41958333,0.409916667,0.418,8.048,0.898794046299167
8.070935,27.29166667,6.650833258,10.33208333,0.407916667,0.418,7.841,0.90630778703665
8.031332,23.91666667,6.527916667,10.25291667,0.406333333,0.418,8.053,0.913545457642601
7.884683,5,6.455,10.17375,0.405041667,0.417833333,9.489,0.92050485345244
7.732802,26.70833333,6.53,10.08625,0.407583333,0.417,8.982,0.927183854566787
7.566699,22,6.605,10.01541667,0.409083333,0.417,9.303,0.933580426497202
7.449375,33.16666667,6.538333333,9.934166667,0.4095,0.417,9.183,0.939692620785908
