"v","st255","sm100","sm255","cyday"
106108125.579891,19.7554169583333,0.265916666666667,0.303,-0.438371146789078
105500125.579891,19.7970844166667,0.26375,0.303,-0.4226182617407
104764125.579891,19.820002,0.264,0.303,-0.4067366430758
103513125.579891,19.845001,0.262958333333333,0.303,-0.390731128489274
101844125.579891,19.87,0.262041666666667,0.303,-0.374606593415912
100823125.579891,19.87,0.262083333333333,0.303,-0.358367949545301
100569125.579891,19.87,0.263083333333333,0.303,-0.342020143325669
100375125.579891,19.87,0.264208333333333,0.303,-0.325568154457157
100273125.579891,19.87,0.26525,0.303,-0.309016994374948
100527125.579891,19.87,0.270791666666667,0.303,-0.292371704722737
100316125.579891,19.87,0.27625,0.303,-0.275637355816999
100443125.579891,19.8325015,0.27875,0.303,-0.258819045102521
100696125.579891,19.820002,0.281208333333333,0.303,-0.241921895599668
100823125.579891,19.7866673333333,0.283208333333333,0.303,-0.224951054343865
101588125.579891,19.77,0.283791666666667,0.303,-0.20791169081776
102143125.579891,19.7366673333333,0.288166666666667,0.303,-0.190808995376545
102228125.579891,19.69916725,0.29425,0.303,-0.17364817766693
102271125.579891,19.6491666666667,0.296666666666667,0.303,-0.156434465040231
102399125.579891,19.595001,0.297333333333333,0.303,-0.139173100960065
102271125.579891,19.5366673333333,0.297875,0.303,-0.121869343405147
102314125.579891,19.4804174583333,0.29825,0.303,-0.104528463267653
102527125.57989,19.4179167083333,0.298375,0.303,-0.0871557427476582
102570125.57989,19.3575005,0.30025,0.303,-0.0697564737441256
102271125.579891,19.3054180833333,0.302708333333333,0.303,-0.0523359562429443
100612125.57989,19.2595835416667,0.303,0.303,-0.0348994967025016
98016125.57989,19.217917625,0.304166666666667,0.303,-0.0174524064372835
97155125.57989,19.17,0.305,0.303,-1.83697019872103e-16
97277125.57989,19.1283333333333,0.305,0.303,0.0174524064372831
97440125.579891,19.09291775,0.304416666666667,0.303,0.0348994967025013
97686125.579891,19.06375175,0.305166666666667,0.303,0.0523359562429439
97934125.579891,19.02,0.306583333333333,0.303,0.0697564737441252
98140125.579891,18.988750625,0.307208333333333,0.303,0.0871557427476579
98387125.579891,18.963750875,0.310833333333333,0.303,0.104528463267653
98148125.579891,18.92,0.315458333333333,0.303,0.121869343405148
97892125.579891,18.8929166666667,0.317166666666667,0.303,0.139173100960065
98099125.579891,18.87,0.316291666666667,0.303,0.156434465040231
98222125.579891,18.8408345,0.316,0.303,0.17364817766693
98387125.579891,18.820002,0.316791666666667,0.303208333333333,0.190808995376544
97440125.579891,18.7825005,0.316666666666667,0.3035,0.207911690817759
97563125.57989,18.7491670833333,0.318416666666667,0.304,0.224951054343865
97175625.579891,18.717917625,0.317333333333333,0.304,0.241921895599667
96788125.579891,18.67,0.317125,0.304,0.258819045102521
95933125.579891,18.6408333333333,0.317,0.304,0.275637355816999
96062125.57989,18.62,0.316916666666667,0.304,0.292371704722737
95781125.57989,18.578335,0.316,0.304,0.309016994374947
95142125.57989,18.570002,0.3155,0.303541666666667,0.325568154457156
94018125.579891,18.5366673333333,0.3155,0.303125,0.342020143325668
93231125.579891,18.52,0.315041666666667,0.303,0.3583679495453
93483125.579891,18.4908339166667,0.315458333333333,0.303,0.374606593415912
94191125.579891,18.470001,0.322125,0.30375,0.390731128489273
94389125.579891,18.426250125,0.326208333333333,0.304,0.406736643075801
94627125.579891,18.40125,0.327375,0.304,0.4226182617407
94271125.579891,18.36791675,0.328333333333333,0.304,0.438371146789077
93444125.579891,18.320002,0.328416666666667,0.304,0.453990499739547
91881125.579891,18.27,0.329625,0.304,0.46947156278589
90091125.579891,18.2220842916667,0.330416666666667,0.304,0.484809620246337
88204125.579891,18.172083375,0.329791666666667,0.304,0.5
87602125.579891,18.1220833333333,0.329333333333333,0.304,0.515038074910054
87085125.579892,18.0679185833333,0.326458333333333,0.304,0.529919264233205
86816125.579892,18.0116668333333,0.325,0.304,0.544639035015027
86831125.579891,17.955417375,0.325,0.304,0.559192903470746
86517125.579891,17.895,0.324041666666667,0.304,0.573576436351046
85960125.579892,17.8304180833333,0.324,0.304,0.587785252292473
85960125.579892,17.751250375,0.323541666666667,0.304,0.601815023152048
86220125.579892,17.686667,0.323416666666667,0.304,0.615661475325659
82485125.579892,15.6929166041667,0.324083333333333,0.304,0.819152044288992
81909125.579892,15.559583125,0.324,0.304,0.829037572555041
82053125.579892,15.4241666666667,0.324,0.304,0.838670567945424
81801125.579892,15.3012497916667,0.323791666666667,0.304,0.848048096156425
81490125.579892,15.1783333333333,0.323416666666667,0.304,0.857167300702112
81622125.579892,15.0658331875,0.323,0.304,0.866025403784438
80269125.579892,14.9574999166667,0.322541666666667,0.304,0.874619707139396
79106125.579892,14.842916625,0.321416666666667,0.304,0.882947592858927
76986125.579892,14.7241665,0.321583333333333,0.304,0.891006524188368
75890125.579892,14.599166625,0.322,0.304,0.898794046299167
74259125.579892,14.4679165208333,0.320458333333333,0.304,0.90630778703665
74367125.579892,14.3304165416667,0.319583333333333,0.304,0.913545457642601
73731125.579892,14.1824999583333,0.318791666666667,0.304,0.92050485345244
73831125.579892,14.0241665208333,0.318583333333333,0.304,0.927183854566787
73998125.579891,13.8574999375,0.318416666666667,0.304,0.933580426497202
73263125.579891,13.6887499166667,0.318,0.304,0.939692620785908
71483125.579892,11.6533333333333,0.311,0.304,0.994521895368273
71679125.579892,11.5241664583333,0.310416666666667,0.304,0.996194698091746
71843125.579892,11.4054166666667,0.3095,0.304,0.997564050259824
71156125.579892,11.2866664583333,0.31,0.304,0.998629534754574
70474125.579892,11.1720833333333,0.31,0.304,0.999390827019096
70668125.579892,11.0637498333333,0.31,0.304,0.999847695156391
70409125.579892,10.9574999166667,0.309416666666667,0.304,1
70571125.579892,10.8533333333333,0.308541666666667,0.304,0.999847695156391
70765125.579891,10.7533330833333,0.307583333333333,0.304,0.999390827019096
70928125.579892,10.6533333333333,0.3075,0.304,0.998629534754574
71091125.579891,10.553333125,0.307,0.304,0.997564050259824
71287125.579891,10.4512499791667,0.307,0.304,0.996194698091745
79774125.579891,8.35958333333333,0.364291666666667,0.304333333333333,0.798635510047293
81265125.579891,8.30333316666667,0.370208333333333,0.305,0.788010753606722
82449125.579891,8.2429164375,0.372458333333333,0.305208333333333,0.777145961456971
82629125.579891,8.1825,0.374125,0.306,0.766044443118978
83209125.579891,8.10125,0.374416666666667,0.306166666666667,0.754709580222772
84778125.579891,7.86999995,0.381833333333333,0.308,0.719339800338651
85589125.579891,7.79499985,0.385083333333333,0.30875,0.707106781186548
85886125.579891,7.72,0.386333333333333,0.309416666666667,0.694658370458997
86375125.579891,7.64916666666667,0.38575,0.310166666666667,0.681998360062498
87451125.579891,7.59291650416667,0.384541666666667,0.311,0.669130606358858
90029125.579891,7.5512498125,0.387541666666667,0.311791666666667,0.656059028990507
91881125.579891,7.52,0.388666666666667,0.312708333333333,0.642787609686539
93247125.579891,7.48666666666667,0.389,0.313541666666667,0.629320391049838
94429125.579891,7.47,0.391458333333333,0.314416666666667,0.615661475325658
95542125.579891,7.45125,0.394083333333333,0.315458333333333,0.601815023152048
96505125.579891,7.42,0.394,0.3165,0.587785252292473
97277125.579891,7.38875,0.394,0.317541666666667,0.573576436351046
97563125.579891,7.3512498875,0.392666666666667,0.3185,0.559192903470747
98169125.579891,7.31583305833333,0.391291666666667,0.319375,0.544639035015027
97318125.579891,7.27,0.39025,0.320166666666667,0.529919264233205
96642125.579891,7.21583333333333,0.389458333333333,0.321,0.515038074910054
98929125.579891,7.1575,0.389041666666667,0.321916666666667,0.5
105587125.57989,7.1012498875,0.390125,0.322625,0.484809620246337
109890125.579891,7.05541645416667,0.3895,0.323333333333333,0.469471562785891
112751125.579891,7.02,0.388458333333333,0.324,0.453990499739547
115337125.579891,7.0075,0.388458333333333,0.324958333333333,0.438371146789077
117591125.579891,6.97,0.39,0.325666666666667,0.422618261740699
118809125.579891,6.97,0.39175,0.326208333333333,0.4067366430758
120345125.579891,6.97,0.391833333333333,0.327,0.390731128489274
